"UniqueID","Year","Breed","Breedclean","Age","Agenum","Gender","SpayNeuter","Borough","ZipCode"
8460,"2016","PIT BULL MIX","Pit bull","10",10,"M","true","Queens","11693"
8461,"2016","Chow Chow","Other","5",5,"F","true","Queens","11373"
8462,"2016","Siberian Husky","Husky","9",9,"M","true","Queens","11377"
8464,"2016","Poodle, Standard","Poodle","3",3,"M","false","Queens","11372"
8467,"2016","Yorkshire Terrier","Terrier","9 MTHS",0,"M","false","Queens","11416"
8468,"2016","Shih Tzu","Shih tzu","3",3,"M","true","Queens","11368"
8469,"2016","PIT BULL MIX","Pit bull","2",2,"F","true","Queens","11435"
8471,"2016","LABRADOR RETRIEVER MIX","Retriever","1",1,"M","true","Queens","11433"
8472,"2016","CHOW MIX","Other","7",7,"F","true","Queens","11385"
8473,"2016","Yorkshire Terrier","Terrier","2",2,"F","true","Queens","11372"
8476,"2016","FRENCH POODLE","Poodle","2",2,"M","false","Queens","11103"
8478,"2016","BOSTON TERRIER MIX","Terrier","4",4,"F","true","Queens","11101"
8480,"2016","Cocker Spaniel","Spaniel","4",4,"M","false","Queens","11104"
8481,"2016","German Shepherd","German shepherd","5",5,"M","false","Queens","11694"
8482,"2016","Shiba Inu","Shiba","3",3,"M","false","Queens","11356"
8486,"2016","Pit Bull","Pit bull","5",5,"M","false","Queens","11419"
8489,"2017","Maltese","Maltese","8",8,"M","false","Queens","11356"
8490,"2017","CORGI","Other","2",2,"M","true","Queens","11354"
8491,"2017","POODLE MIX","Poodle","2",2,"M","false","Queens","11373"
8493,"2016","Pit Bull","Pit bull","6",6,"F","false","Queens","11356"
8497,"2017","Pit Bull","Pit bull","1",1,"M","false","Queens","11373"
8498,"2016","Yorkshire Terrier","Terrier","6",6,"F","false","Queens","11370"
8500,"2016","PIT BULL / BOXER MIX","Pit bull","3",3,"M","false","Queens","11355"
8501,"2016","Pit Bull","Pit bull","10 MTHS",0,"M","true","Queens","11434"
8504,"2016","SHEPHERED MIX","Other","10",10,"M","false","Queens","11420"
8506,"2017","CORGI","Other","10 MTHS",0,"M","false","Queens","11373"
8508,"2017","Chihuahua","Chihuahua","5",5,"F","false","Queens","11421"
